,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source,foreign_key
621,C16H36N,CCCC[N+](CCCC)(CCCC)CCCC,311-28-4,242.4637451171875,algea,1.2809338454620642,log(mg/L),Literature set,7744
622,C19H34N,CCCC[N+](CCCC)(CCCC)Cc1ccccc1,23616-79-7,276.47998046875,algea,1.4586150226995167,log(mg/L),Literature set,7745
623,C16H36P,CCCC[P+](CCCC)(CCCC)CCCC,121240-56-0,259.43081665039057,algea,1.043804052173115,log(mg/L),ECHA,7746
624,C10H14,CCCCc1ccccc1,104-51-8,134.21817016601562,algea,0.30010459245033816,log(mg/L),"NITE, Aquatic ECETOC, VEGA, Literature set",7747
625,C3H9N,CCCN,000107-10-8,59.11026000976562,algea,4.343805421853683,log(mg/L),"VEGA, Literature set",4555
626,C5H13N,CCCN(C)C,926-63-6,87.16342163085938,algea,1.9300710850255671,log(mg/L),ECHA,7748
627,C12H18N4O6S,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],19044-88-3,346.3595275878906,algea,-1.1086626245216111,log(mg/L),"VEGA, Literature set",1317
628,C14H24O4,CCCOC(=O)C1CCCCC1C(=O)OCCC,65646-25-5,256.33795166015625,algea,2.772588722239781,log(mg/L),ECHA,7749
629,C10H12O3,CCCOC(=O)c1ccc(O)cc1,94-13-3,180.2004852294922,algea,2.772588722239781,log(mg/L),ECHA,7750
630,C5H10O2,CCCOC(C)=O,109-60-4,102.13169860839844,algea,6.51025834052315,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA",1340
631,C13H20O2,CCCOC(C)OCCc1ccccc1,7493-57-4,208.2967071533203,algea,2.1282317058492684,log(mg/L),ECHA,7751
632,C17H14BrF2N3O3S,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Br)cc23)c1F,918504-27-5,458.27716064453125,algea,3.0819099697950434,log(mg/L),ECHA,7752
633,C6H14S,CCCSCCC,000111-47-7,118.2403564453125,algea,4.030339232246188,log(mg/L),"VEGA, Literature set",7753
