,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
99,C8H8,C=Cc1ccccc1,100-42-5,104.1491241455078,fish,2.302585092994046,log(mg/L),"Aquatic ECETOC, ECHA, ECOTOX, OASIS, ECOTOX-EPA(11), Literature set, VEGA"
100,C7H7N,C=Cc1ccccn1,100-69-6,105.1371841430664,fish,1.8718021769015913,log(mg/L),"ECHA, NITE, Literature set"
101,C7H7N,C=Cc1ccncc1,100-43-6,105.1371841430664,fish,0.0,log(mg/L),"NITE, VEGA, Literature set"
102,C14H11N,C=Cn1c2ccccc2c2ccccc21,1484-13-5,193.24383544921875,fish,-5.744604469176456,log(mg/L),"NITE, VEGA, Literature set"
103,CH2O,C=O,50-00-0,30.02597999572754,fish,3.228855593828519,log(mg/L),"ECOTOX, OASIS, Literature set, VEGA"
104,C4H6O,CC#CCO,764-01-2,70.08984375,fish,2.312535423847214,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
105,C8H14O2,C=C(C)C(=O)OC(C)(C)C,585-07-9,142.195556640625,fish,4.143134726391533,log(mg/L),ECHA
106,C14H22O2,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,7534-94-3,222.3232879638672,fish,0.5822156198526637,log(mg/L),ECHA
107,C6H7F3O2,C=C(C)C(=O)OCC(F)(F)F,352-87-4,168.11380004882812,fish,2.1162555148025524,log(mg/L),"ECHA, NITE, Literature set, VEGA"
108,C9H14O3,C=C(C)C(=O)OCC1CCCO1,2455-24-5,170.20565795898438,fish,3.5467396869528134,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
109,C7H10O2,C=CCOC(=O)C(=C)C,000096-05-9,126.15310668945312,fish,-0.01005033585350145,log(mg/L),"VEGA, Literature set"
110,C14H22O4,C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,6606-59-3,254.32208251953125,fish,1.5040773967762742,log(mg/L),ECHA
111,C9H15NO3,C=C(C)C(=O)OCCN1CCOC1,46235-93-2,185.2203063964844,fish,4.51085950651685,log(mg/L),ECHA
112,C7H9NO3,C=C(C)C(=O)OCCN=C=O,30674-80-7,155.15126037597656,fish,5.087596335232384,log(mg/L),ECHA
113,C10H14O4,C=C(C)C(=O)OCCOC(=O)C(=C)C,97-90-5,198.21575927734372,fish,2.7694588292308535,log(mg/L),ECHA
114,C14H22O6,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,109-16-0,286.3208923339844,fish,2.8449093838194073,log(mg/L),ECHA
115,C11H12O2,C=C(C)C(=O)OCc1ccccc1,2495-37-6,176.21177673339844,fish,1.541159071680806,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
116,C6H10,C=C(C)C(=C)C,513-81-5,82.14360046386719,fish,1.9329696377795786,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
117,C4H6O2,C=C(C)C(=O)O,79-41-4,86.08924102783203,fish,4.442651256490317,log(mg/L),"ECHA, Literature set"
118,C10H14O,C=C(C)C1CC=C(C)C(=O)C1,6485-40-1,150.21755981445312,fish,3.3339886319687055,log(mg/L),ECHA
119,C5H8,C=CC(=C)C,78-79-5,68.11701965332031,fish,4.330733340286331,log(mg/L),"NITE, VEGA, Literature set"
120,C8H16,C=C(C)CC(C)(C)C,25167-70-8,112.212646484375,fish,-0.4307829160924542,log(mg/L),ECHA
121,C9H10O,C=C(C)c1ccc(O)cc1,4286-23-1,134.17510986328122,fish,2.2192034840549946,log(mg/L),"NITE, VEGA, Literature set"
122,C12H14,C=C(C)c1cccc(C(=C)C)c1,3748-13-8,158.23956298828125,fish,1.824549292051046,log(mg/L),ECHA
123,C9H10,C=C(C)c1ccccc1,98-83-9,118.17570495605469,fish,1.9851308622085946,log(mg/L),"ECHA, NITE, Literature set"
124,C14H13Cl2N2O2PS,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,4104-14-7,375.2099914550781,fish,-0.8209805520698302,log(mg/L),ECOTOX
125,C6H12O,CC(=O)C(C)(C)C,75-97-8,100.15888214111328,fish,4.466333249338886,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
126,C14H22O,CC(=O)C(C)=CC1C(C)=CCCC1(C)C,127-51-5,206.32388305664062,fish,2.388762789235098,log(mg/L),ECHA
127,C6H8O3,CC(=O)C1CCOC1=O,517-23-7,128.12591552734378,fish,6.620073206530356,log(mg/L),ECHA
128,C13H20O,CC(=O)C=CC1=C(C)CCCC1(C)C,79-77-6,192.29730224609372,fish,1.6272778305624314,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
129,C10H9ClO,CC(=O)C=Cc1cccc(Cl)c1,20766-36-3,180.630859375,fish,1.0986122886681098,log(mg/L),"NITE, Literature set"
130,C10H10O,CC(=O)C=Cc1ccccc1,122-57-6,146.18580627441406,fish,1.7404661748405046,log(mg/L),"NITE, VEGA, Literature set"
131,C8H8O2,CC(=O)C=Cc1ccco1,623-15-4,136.14791870117188,fish,3.044522437723423,log(mg/L),"NITE, VEGA, Literature set"
132,C6H12O2,CC(=O)CC(C)(C)O,123-42-2,116.15827941894531,fish,6.040254711277414,log(mg/L),"Literature set, ECOTOX"
133,C5H8O2,CC(=O)CC(C)=O,123-54-6,100.1158218383789,fish,4.6443908991413725,log(mg/L),"ECHA, ECOTOX, OASIS, ECOTOX(13), ECOTOX-EPA(13), EPAFHM, Literature set"
134,C3H5ClO,CC(=O)CCl,78-95-5,92.52420043945312,fish,-0.35405880233154957,log(mg/L),OASIS
135,C9H7Cl3O,CC(=O)Cc1c(Cl)cc(Cl)cc1Cl,1228284-86-3,237.5102844238281,fish,1.8718021769015913,log(mg/L),ECHA
136,C11H13F3N2O3S,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,53780340,310.292724609375,fish,7.389563953677635,log(mg/L),ECOTOX
137,C8H9NO2,CC(=O)Nc1ccc(O)cc1,000103-90-2,151.16256713867188,fish,6.699643187101425,log(mg/L),"VEGA, Literature set"
138,C8H9NO2,CC(=O)Nc1cccc(O)c1,621421,151.16256713867188,fish,7.029972911706386,log(mg/L),"ECOTOX, EPAFHM, Literature set, VEGA"
139,C8H9NO,CC(=O)Nc1ccccc1,103-84-4,135.16316223144528,fish,4.605170185988092,log(mg/L),Literature set
140,C8H9NO2,CC(=O)Nc1ccccc1O,614802,151.16256713867188,fish,3.1923483835313107,log(mg/L),"ECOTOX, EPAFHM, Literature set, VEGA"
141,C12H18O2,CC(=O)OC1CC2CC1C1CCCC21,64001-15-6,194.27012634277344,fish,2.0794415416798357,log(mg/L),"ECHA, ECHA(10)"
142,C12H22O2,CC(=O)OC1CCCCC1C(C)(C)C,20298-69-5,198.30187988281247,fish,1.7227665977411035,log(mg/L),ECHA
143,C4H6O2,C=COC(C)=O,108-05-4,86.08924102783203,fish,3.068052935133617,log(mg/L),"NITE, VEGA, Literature set"
144,C11H12O2,CC(=O)OCC=Cc1ccccc1,103-54-8,176.21177673339844,fish,1.0152306797290584,log(mg/L),ECHA
145,C13H20O2,CC(=O)OCCC1=CCC2CC1C2(C)C,35836-72-7,208.2967071533203,fish,2.437115985951652,log(mg/L),ECHA
146,C9H10O2,CC(=O)OCc1ccccc1,140-11-4,150.17449951171875,fish,1.3862943611198906,log(mg/L),"ECHA, ECOTOX"
147,C6H12O3,CC(=O)OOC(C)(C)C,107-71-1,132.15768432617188,fish,3.6788291182604347,log(mg/L),ECHA
148,C10H8OS,CC(=O)c1cc2ccccc2s1,22720-75-8,176.23492431640625,fish,2.302585092994046,log(mg/L),"NITE, VEGA, Literature set"
149,C9H10O,CC(=O)c1ccc(C)cc1,122-00-9,134.17510986328122,fish,4.2626798770413155,log(mg/L),ECHA
150,C8H5Cl3O,CC(=O)c1ccc(Cl)c(Cl)c1Cl,13608872,223.48370361328125,fish,0.6888936829417563,log(mg/L),"EPAFHM, Literature set, VEGA"
