id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1556,1432,"daphnia, fish",83.6,1780.0,"",mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1557,1443,fish,"",774.578680188031,"",mg/L,"OASIS, Literature set"
1558,8514,alga,"","",4.6,mg/L,ECHA
1559,8515,fish,"",1.18,"",mg/L,"ECOTOX, Literature set"
1560,8516,alga,"","",1.071,mg/L,ECHA
1561,6761,fish,"",5.36,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1562,4821,fish,"",23.9,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1563,8517,alga,"","",56.3,mg/L,ECHA
1564,8518,daphnia,22.9,"","",mg/L,ECOTOX
1565,1413,"alga, daphnia",7.1,"",4.6,mg/L,ECHA
1566,8519,"alga, daphnia",2.1,"",1.6,mg/L,ECHA
1567,8520,daphnia,54.8,"","",mg/L,ECHA
1568,8521,"daphnia, fish",11.0,16.4,"",mg/L,"ECHA, NITE, ECOTOX, OASIS, EPAFHM, Literature set"
1569,1417,fish,"",2.47991582301594,"",mg/L,"ECOTOX, Literature set, VEGA"
1570,8522,daphnia,3.54,"","",mg/L,ECHA
1571,8523,"alga, daphnia",0.579,"",14.4,mg/L,ECHA
1572,8524,alga,"","",63.8,mg/L,ECHA
1573,4025,fish,"",52.9,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1574,4057,daphnia,22.0,"","",mg/L,ECHA
1575,8525,daphnia,0.266,"","",mg/L,ECHA
1576,8526,fish,"",0.023,"",mg/L,ECOTOX
1577,8527,alga,"","",62.9,mg/L,ECHA
1578,8528,"daphnia, fish",14.9,10.1,"",mg/L,ECHA
1579,8529,fish,"",213.0,"",mg/L,ECHA
1580,8530,fish,"",4510.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1581,8531,alga,"","",24.6,mg/L,ECHA
1582,1452,alga,"","",52.0,mg/L,NITE
1583,1453,"daphnia, fish",7.829,30.8,"",mg/L,"Literature set, ECOTOX"
1584,8532,daphnia,0.426791793861206,"","",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
1585,8533,daphnia,309.0,"","",mg/L,ECHA
1586,8534,"alga, daphnia",44.4,"",7.55,mg/L,ECHA
1587,1455,daphnia,81.0,"","",mg/L,EFSA
