,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
153,C10H10O2,C=C(OC(C)=O)c1ccccc1,2206-94-2,162.18521118164062,daphnia,3.1780538303479458,log(mg/L),ECHA
154,C12H20O2,C=CC(=C)CCCC(C)(C)OC(C)=O,1118-39-4,196.2860107421875,daphnia,1.840549633397487,log(mg/L),ECHA
155,C12H20O2,CC(=O)OC1C2(C)CCC(C2)C1(C)C,4057-31-2,196.2860107421875,daphnia,2.6979998652487085,log(mg/L),ECHA
156,C12H22O2,CC(=O)OC1CCC(C(C)(C)C)CC1,10411-92-4,198.3018798828125,daphnia,1.667706820558076,log(mg/L),ECHA
157,C12H22O2,CC(=O)OC1CCCCC1C(C)(C)C,20298-69-5,198.30187988281247,daphnia,2.833213344056216,log(mg/L),ECHA
158,C4H6O2,C=COC(C)=O,108-05-4,86.08924102783203,daphnia,2.2192034840549946,log(mg/L),"NITE, VEGA, Literature set"
159,C8H12O4,C=C(COC(C)=O)COC(C)=O,3775-29-9,172.17848205566406,daphnia,4.30406509320417,log(mg/L),ECHA
160,C9H16O4,CC(=O)OCC(C)(C)COC(C)=O,13431-57-7,188.220947265625,daphnia,4.7535901911063645,log(mg/L),ECHA
161,C9H14O6,CC(=O)OCC(COC(C)=O)OC(C)=O,102-76-1,218.203857421875,daphnia,5.940171252720432,log(mg/L),"Literature set, ECHA, NITE"
162,C11H12O2,CC(=O)OCC=Cc1ccccc1,103-54-8,176.21177673339844,daphnia,3.380994674344636,log(mg/L),ECHA
163,C13H20O2,CC(=O)OCCC1=CCC2CC1C2(C)C,35836-72-7,208.2967071533203,daphnia,2.480396494310114,log(mg/L),ECHA
164,C10H18O2,CC(=O)OCCC1CCCCC1,21722-83-8,170.24871826171875,daphnia,3.606041175804932,log(mg/L),ECHA
165,C10H12O2,CC(=O)OCCc1ccccc1,103-45-7,164.20108032226562,daphnia,3.6000482404073204,log(mg/L),ECHA
166,C9H10O2,CC(=O)OCc1ccccc1,140-11-4,150.17449951171875,daphnia,2.833213344056216,log(mg/L),"ECHA, ECOTOX"
167,C6H12O3,CC(=O)OOC(C)(C)C,107-71-1,132.15768432617188,daphnia,1.4609379041156565,log(mg/L),ECHA
168,C12H12O5,CC(=O)Oc1cc(OC(C)=O)cc(C(C)=O)c1,35086-59-0,236.2206878662109,daphnia,2.6390573296152584,log(mg/L),ECHA
169,C8H7BrO2,CC(=O)Oc1ccc(Br)cc1,1927-95-3,215.0439758300781,daphnia,1.9021075263969205,log(mg/L),ECHA
170,C9H7NO2,CC(=O)Oc1ccc(C#N)cc1,13031-41-9,161.15737915039062,daphnia,2.0541237336955462,log(mg/L),ECHA
171,C10H10O3,CC(=O)Oc1cccc(C(C)=O)c1,2454-35-5,178.18460083007812,daphnia,4.509760001183433,log(mg/L),ECHA
