id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
5008,14453,CHEMBL2234028,"Escherichia coli",16.0,ug.mL-1,"'='",251.3,"","Scientific Literature","Med Chem Res"
5009,14454,CHEMBL2235503,"Escherichia coli",16.0,ug.mL-1,"'='",249.28,"","Scientific Literature","Med Chem Res"
5010,10473,CHEMBL174,"Escherichia coli",100.0,ug.mL-1,"'='",349.41,"","Scientific Literature","Med Chem Res"
5011,14455,CHEMBL2262805,"Escherichia coli",500.0,ug.mL-1,"'='",357.44,"","Scientific Literature","Med Chem Res"
5012,14456,CHEMBL2262798,"Escherichia coli",62.5,ug.mL-1,"'='",291.31,"","Scientific Literature","Med Chem Res"
5013,14457,CHEMBL2282577,"Escherichia coli",50.0,ug.mL-1,"'='",449.48,"","Scientific Literature","Med Chem Res"
5014,14458,CHEMBL4543700,"Escherichia coli",64.0,ug.mL-1,"'>'",403.39,"","Scientific Literature","Bioorg Med Chem"
5015,14459,CHEMBL4446049,"Escherichia coli",64.0,ug.mL-1,"'>'",440.2,"","Scientific Literature","Bioorg Med Chem"
5016,14460,CHEMBL3402179,"Escherichia coli",16.0,ug.mL-1,"'='",525.51,"","Scientific Literature","Bioorg. Med. Chem. Lett."
5017,14461,CHEMBL4445100,"Escherichia coli",64.0,ug.mL-1,"'>'",377.3,"","Scientific Literature","Bioorg Med Chem"
5018,14462,CHEMBL4556375,"Escherichia coli",64.0,ug.mL-1,"'>'",417.41,"","Scientific Literature","Bioorg Med Chem"
5019,14463,CHEMBL4583195,"Escherichia coli",32.0,ug.mL-1,"'>'",230.09,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
