,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
63,Escherichia coli,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,-0.6931471805599453,log(ug/mL),'=',1390.73,,Scientific Literature,Eur. J. Med. Chem.
64,Escherichia coli,COc1ccc(C2C(C#N)=C(N)Oc3ccc4ccccc4c32)cc1,5.0106352940962555,log(ug/mL),'=',328.37,,Scientific Literature,Eur. J. Med. Chem.
65,Escherichia coli,COc1ccc(C2c3ccccc3OC3NC(=O)N=C(N)C32)cc1,5.521460917862246,log(ug/mL),'=',323.35,,Scientific Literature,Eur. J. Med. Chem.
66,Escherichia coli,COc1ccc(C2c3ccc(O)cc3OC3NC(=O)N=C(N)C32)cc1,5.521460917862246,log(ug/mL),'=',339.35,,Scientific Literature,Eur. J. Med. Chem.
67,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.3862943611198906,log(ug/mL),'=',331.35,,Scientific Literature,Antimicrob. Agents Chemother.
68,Escherichia coli,FC(F)(F)c1cc(N/N=C/c2cccnc2)c2cccc(C(F)(F)F)c2n1,1.8325814637483102,log(ug/mL),'=',384.28,,Scientific Literature,Eur. J. Med. Chem.
69,Escherichia coli,Cc1cccc2c(/C=N/Nc3cc(C(F)(F)F)nc4c(C(F)(F)F)cccc34)c[nH]c12,1.8325814637483102,log(ug/mL),'=',436.36,,Scientific Literature,Eur. J. Med. Chem.
70,Escherichia coli,CO/N=C/CC(=O)c1ccc(C(C)C)cc1,4.1588830833596715,log(ug/mL),'>',219.28,,Scientific Literature,Eur. J. Med. Chem.
71,Escherichia coli,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.6931471805599453,log(ug/mL),'=',444.44,,Scientific Literature,Med Chem Res
72,Escherichia coli,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.0,log(ug/mL),'=',319.34,,Scientific Literature,Antimicrob. Agents Chemother.
73,Escherichia coli,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.6931471805599453,log(ug/mL),'=',319.34,,Scientific Literature,Antimicrob. Agents Chemother.
74,Escherichia coli,C[C@@H](O)[C@@H](NC(=O)N1CCN(c2ccc(C#Cc3cnccn3)cc2)CC1)C(=O)NO,4.605170185988092,log(ug/mL),'>',424.46,,Scientific Literature,Bioorg. Med. Chem. Lett.
75,Escherichia coli,CC(C)(C)c1ccc(-c2cc(-c3cc(OCCCN)cc(OCCCN)c3)cc(-c3cc(OCCCN)cc(OCCCN)c3)c2)cc1,1.1410330045520618,log(ug/mL),'=',654.90,,Scientific Literature,ACS Med. Chem. Lett.
76,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-2.120263536200091,log(ug/mL),'=',331.35,,Scientific Literature,J. Nat. Prod.
77,Escherichia coli,O=C(Cn1ccnc1)c1ccc2ccccc2c1O,6.931471805599453,log(ug/mL),'=',252.27,,Scientific Literature,Bioorg. Med. Chem.
78,Escherichia coli,Cc1cc(SCc2nc3ccccc3o2)nc(SCc2nc3ccccc3o2)n1,4.605170185988092,log(ug/mL),'=',420.52,,Scientific Literature,Eur. J. Med. Chem.
79,Escherichia coli,CCOC(=O)c1sc(NS(=O)(=O)c2ccccc2)nc1C,3.912023005428146,log(ug/mL),'=',326.40,,Scientific Literature,Eur. J. Med. Chem.
80,Escherichia coli,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3ccc4c(c3)OCO4)(CC1)CO2,3.4657359027997265,log(ug/mL),'=',479.51,,Scientific Literature,Bioorg. Med. Chem. Lett.
81,Escherichia coli,COCO[C@H](C)[C@H]1C(=O)N2C(C(=O)OCc3ccc([N+](=O)[O-])cc3)=CS[C@@H]12,5.298317366548036,log(ug/mL),'>',394.41,,Scientific Literature,Bioorg. Med. Chem. Lett.
82,Escherichia coli,COc1ccc2nccc(NC(=O)[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CS5)CC3)c2n1,-8.294049640102028,log(ug/mL),'=',478.58,,Scientific Literature,J. Med. Chem.
83,Escherichia coli,Fc1cccc(F)c1-n1c(-c2cccc(Cl)c2)nn(CN2CCCC2)c1=S,6.214608098422191,log(ug/mL),'=',406.89,,Scientific Literature,Eur. J. Med. Chem.
84,Escherichia coli,O=[N+]([O-])c1cccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)c1,3.912023005428146,log(ug/mL),'=',341.80,,Scientific Literature,Eur. J. Med. Chem.
85,Escherichia coli,CCc1ccc(-c2nc3ccc([N+](=O)[O-])cc3o2)cc1,3.912023005428146,log(ug/mL),'=',268.27,,Scientific Literature,Eur. J. Med. Chem.
86,Escherichia coli,COc1ccc(C(=O)CSc2nc(C)c(C)n2Nc2ccc(OO)cc2)cc1,6.684611727667927,log(ug/mL),'=',399.47,,Scientific Literature,Bioorg. Med. Chem. Lett.
87,Escherichia coli,COc1ccc2nccc(C(O)C[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,-6.907755278982137,log(ug/mL),'=',481.58,,Scientific Literature,J. Med. Chem.
88,Escherichia coli,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,3.4657359027997265,log(ug/mL),'>',1449.27,,Scientific Literature,Bioorg. Med. Chem. Lett.
89,Escherichia coli,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,-0.6931471805599453,log(ug/mL),'<',1390.73,,Scientific Literature,J. Med. Chem.
90,Escherichia coli,Cc1ncc([N+](=O)[O-])n1CCN1CCN(c2cccc(Cl)c2Cl)CC1,3.912023005428146,log(ug/mL),'>',384.27,,Scientific Literature,Bioorg. Med. Chem.
91,Escherichia coli,N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1cccc2ccccc12,3.332204510175204,log(ug/mL),'=',388.43,,Scientific Literature,Bioorg. Med. Chem. Lett.
92,Escherichia coli,N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccccc1,2.975529566236472,log(ug/mL),'=',338.37,,Scientific Literature,Bioorg. Med. Chem. Lett.
93,Escherichia coli,C[C@@](C[C@H]1CC(c2ccc(C#CC3CC3)cc2)=NO1)(C(=O)NO)S(C)(=O)=O,-2.0794415416798357,log(ug/mL),'=',390.46,,Scientific Literature,J Med Chem
94,Escherichia coli,O=C(Nc1ccc(F)cc1)OC(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1,2.772588722239781,log(ug/mL),'=',482.98,,Scientific Literature,Antimicrob. Agents Chemother.
